Berliner Allee 261-269, 13088 Berlin
Daumstr. 90, 13599 Berlin
Schönhauser Allee 80, 10439 Berlin
Badensche Str. 56, 10825 Berlin
Gneisenaustr. 84, 10961 Berlin
Kiehlufer 75-79, 12059 Berlin
Görresstr. 3, 12161 Berlin
Birkbuschstr. 76 / 77, 12167 Berlin
Liebenowzeile 29, 12167 Berlin
Dessauer Str. 64, 12249 Berlin
Hirtsieferzeile 42-43, 12351 Berlin
Lieselotte-Berger-Platz 4-9, 12355 Berlin
Pankstr. 39, 13357 Berlin
Meller Bogen 2, 13403 Berlin
Senftenberger Ring 46, 13435 Berlin
Titiseestr. 3, 13469 Berlin
Bottroper Weg 18, 13507 Berlin
Im Spektefeld 32-34, 13589 Berlin
Adamstr. 6, 13595 Berlin
Angerburger Allee 45, 14055 Berlin
Onkel-Tom-Str. 99, 14169 Berlin
Ackerstr. 23-26/Invalidenstr. 158, 10115 Berlin
Chausseestr. 118-120, 10115 Berlin
Friedrichstr. 111, 10117 Berlin
Friedrichstr. 60 (Atrium), 10117 Berlin
Friedrichstr. 67-70, 10117 Berlin
Litfaß-Platz 4 / Hackescher Markt, 10178 Berlin
Am Ostbahnhof 9, 10243 Berlin
Tamara-Danz-Str. 11, 10243 Berlin
Warschauer Str. 33, 10243 Berlin
Revaler Str. 33, 10245 Berlin
Eldenaer Str. 42, 10247 Berlin
Landsberger Allee 68 D, 10249 Berlin
Alfred-Kowalke-Str. 2, 10315 Berlin
Gensinger Str. 83, 10315 Berlin
Weitlingstr. 59-60, 10317 Berlin
Am Tierpark 68/Heinrich-Dathe-Platz, 10319 Berlin
Dolgenseestr. 9 c-f, 10319 Berlin
Volkradstr. 32, 10319 Berlin
Frankfurter Allee 144, 10365 Berlin
Gotlindestr. 40a, 10365 Berlin
Bernhard-Bästlein-Str. 1, 10367 Berlin
Alfred-Jung-Str. 12, 10369 Berlin
Anton-Saefkow-Platz 10, 10369 Berlin
Landsberger Allee 117, 10407 Berlin
Turmstr. 48, 10551 Berlin
Turmstr. 60, 10551 Berlin
Bartningallee 3, 10557 Berlin
Europaplatz 1, 10557 Berlin
Heidestr. 41, 10557 Berlin
Otto-Suhr-Allee 141, 10585 Berlin
Otto-Suhr-Allee 80-82, 10585 Berlin
Sömmeringstr. 24-26, 10589 Berlin
Bismarckstr. 91, 10625 Berlin
Fritschestr. 45-46, 10627 Berlin
Wilmersdorfer Str. 108-111, 10627 Berlin
Konstanzer Str. 53, 10707 Berlin
Kurfürstendamm 146-147, 10709 Berlin
Uhlandstr. 30, 10719 Berlin
Potsdamer Str. 128, 10783 Berlin
Alte Potsdamer Str. 7, 10785 Berlin
Kurfürstenstr. 46, 10785 Berlin
Hauptstr. 141-144, 10827 Berlin
Bautzener Str. 36, 10829 Berlin
Hallesches Ufer 40, 10963 Berlin
Yorckstr. 78, 10965 Berlin
Wrangelstr. 53, 10997 Berlin
Skalitzer Str. 134, 10999 Berlin
Karl-Marx-Str. 92-98, 12043 Berlin
Hermannstr. 158 A, 12051 Berlin
Rollbergstr. 59, 12053 Berlin
Thiemannstr. 9-11, 12059 Berlin
Germaniastr. 12-13, 12099 Berlin
Bayernring 15, 12101 Berlin
Kaiserin-Augusta-Str. 55, 12103 Berlin
Großbeerenstr. 62,64, 12107 Berlin
Bismarckstr. 68-69, 12157 Berlin
Rheinstr. 14, 12159 Berlin
Rheinstr. 30, 12161 Berlin
Walther-Schreiber-Platz 1, 12161 Berlin
Schloßstr. 34-36/ Grunewaldstr. 1-3, 12163 Berlin
Drakestr. 33 A, 12205 Berlin
Lausanner Str. 82 / Goerzallee, 12205 Berlin
Hildburghauser Str. 196 - 198, 12209 Berlin
Lankwitzer Str. 19-24, 12209 Berlin
Hildburghauser Str. 29, 12279 Berlin
Töpchiner Weg 189-193, 12309 Berlin
Tempelhofer Weg 11, 12347 Berlin
Buckower Damm 50, 12349 Berlin
Wildhüterweg 42-46, 12353 Berlin
Alt Rudow 64, 12355 Berlin
Eichenauer Weg 61, 12355 Berlin
Schnellerstr. 74, 12439 Berlin
Rummelsburger Str. 16, 12459 Berlin
Sterndamm 31,33,35, 12487 Berlin
Bruno-Taut Str. 1, 12524 Berlin
Schönefelder Chaussee 1, 12524 Berlin
Adlergestell 744, 12527 Berlin
Bahnhofstr. 23-25, 12555 Berlin
Bahnhofstr. 33-38 Forum Köp., 12555 Berlin
Oberspreestr. 145, 12555 Berlin
Wendenschloßstr. 354-358, 12557 Berlin
Pablo-Neruda-Str. 2, 12559 Berlin
Neue Grottkauer Str. 9, 12619 Berlin
Alt-Kaulsdorf 64, 12621 Berlin
Hönower Str. 80, 12623 Berlin
Fritz-Lang-Str. 3, 12627 Berlin
Brodowiner Ring 8, 12679 Berlin
Marzahner Promenade 1, 12679 Berlin
Helene-Weigel-Platz 1,2, 12681 Berlin
Marchwitzastr. 29, 12681 Berlin
Köpenicker Str. 192-198, 12683 Berlin
